"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C9,C10";"C_0805_HandSoldering";2;"100n";;;
2;"J3";"USB_B_Micro";1;"USB-Micro";;;
3;"R4";"R_0805_HandSoldering";1;"300E";;;
4;"U3";"qfn-28";1;"CP210X";;;
5;"D4";"LED-0805";1;"LED_USB";;;
6;"H10";"Socket_Strip_Angled_1x06";1;"FTDI";;;
7;"D1";"SOT-23-6";1;"USBLC6-2";;;
8;"Z3";"MA_Logo2";1;"SCREW";;;
9;"Z5";"OSHW_6mm";1;"SCREW";;;
